teks,label,clean
"""""Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid menjelaskan bahwa penonaktifan sementara fitur live di Tik Tok dilakukan secara sukarela oleh pihak platform bkn atas permintaan pemerintah. Menurutnya keputusan ini diambil Tik Tok setelah terjadi kericuhan dan penjarahan https://t.co/emUsWEEVP1""""",neutral,menteri komunikasi digital menkomdigi meutya hafid jelas nonaktif fitur live tik tok laku sukarela pihak platform bukan atas minta perintah turut putus ambil tik tok jadi ricuh penjarahan
"""""@RakhmadIrawan9 @KangManto123 Ngeroda krn direpublik lg marak penjarahan Para penjarah itu bertannya- tanya? ? Siapa sebenarnya penjarah republik ini? Yaitu para pejabat yg KKN (korupsi kolusi nepotisme) Slamet ....slamet... anda dpt sepada """"",negative,ngeroda republik lg marak penjarahan jarah tan tanya siapa benar jarah republik jabat kkn korupsi kolusi nepotisme slamet slamet sepada
"""""@somexthread Iya terus sampe inflasi terus drop tuh rupiah abis itu bangkrut deh Indonesia dan ada penjarahan lagi """"",negative,iya terus sampe inflasi terus drop tuh rupiah abis bangkrut deh indonesia penjarahan
"""""awalnya demo murni-lalu masuk tangan yang membajak membentuk kabut narasi-mob mentality-tangan selanjutnya mengeksekusi memprovokasi mob justice tindakan anarkis terhadap aparat pembakaran penjarahan yg harus diusut pihak yg memicu kabut narasi melancarkan provokasi mob justice""""",negative,awal demo murni lalu masuk tangan bajak bentuk kabut narasi mob mentality tangan lanjut eksekusi provokasi mob justice tindak anarkis aparat pembakaran penjarahan usut pihak picu kabut narasi lancar provokasi mob justice
"""""@Otto_0967 kita ini rakyat di sebuah negara yang hanya di jadikan sapi perah saja baik oleh negara itu sendiri dan juga oligarki. belum lagi penjarahan sumberdaya alam yang sistematis dan masif.""""",negative,rakyat buah negara jadi sapi perah bagus negara sendiri oligarki belum penjarahan sumberdaya alam sistematis masif
"""""@neVerAl0nely__ Penjarahan yg sesungguhnya""""",neutral,penjarahan sungguh
"""""@BattleboyA239 hanya lakukan revolusi jika ada ulama didalamnya kalau tidak pasti akan kacau semacam 98 yg isinya cuma penjarahan dan pemerkosaan dan negara tidak membaik sama sekali org yg dulunya revolusi sekarang jadi koruptor""""",negative,laku revolusi ulama dalam kalau tidak kacau macam 98 isi cuma penjarahan perkosa negara tidak baik sama sekali org revolusi sekarang jadi koruptor
"""""Contoh munafik/hipokritnya antek Fufufafa &amp"";"" termul.Mereka(kebanyakan diaspora beijingisme)merasa tak suka reformasi 1998 blg ada pelecehan pemerkosaan penjarahan sipit eh giliran mau goyang Prabowo bawa2 98Taimpetuk.Cina mana mau rugi 20 jt dah dikeluarin gunain perusuh https://t.co/BWhlcAUZyD""""",negative,contoh munafik hipokrit antek fufufafa amp termul banyak diaspora beijingisme rasa tak suka reformasi 1998 blg leceh perkosa penjarahan sipit eh gilir mau goyang prabowo bawa 98taimpetuk cina mana mau rugi 20 jt dah dikeluarin gunain rusuh
"""""Kata Pak @rockygerung Gathel Demo yang mestinya jadi ruang ekspresi justru dibungkus dengan ancaman anarki pengrusakan bahkan penjarahan. Lebih parahnya lagi aksi ini dinegosiasikan dengan janji pembatalan jika ada imbalan uang ratusan juta rupiah. https://t.co/1sZeAnOlPc""""",negative,kata pak gathel demo mesti jadi ruang ekspresi justru bungkus ancam anarki rusa bahkan penjarahan lebih parah aksi negosiasi janji batal imbal uang ratus juta rupiah
"""""@Majelis_Ruhani ini bukannya udh sempet disinggung ya? (walaupun tdk secara eksplisit) kalo pergerakan kmrn emg ada beberapa lini yg disusupi bukan hanya pas aksi demo atau pas penjarahan""""",neutral,bukan sempet singgung walaupun tidak ekstolongit kalo gera kmrn emg beberapa lini susup bukan pas aksi demo pas penjarahan
"""""@GoodRecom gua benci ni org joget2 disaat rakyat lagi banyak yg susah. tapi bukan berarti gua membenarkan penjarahan dirumah dia dan artis lain yg baru jadi dpr. mereka itu notabenenya baru harta kekayaannya mayoritas dari karir mereka selama jd artis. aneh mental maling apa bedanya?""""",negative,benci ni org joget saat rakyat banyak susah bukan arti benar penjarahan rumah artis baru jadi dpr notabene baru harta kaya mayoritas karir lama jadi artis aneh mental maling apa beda
"""""AGUSTUS KELABU!!! TENTARA TERLIBAT PERUSAKAN PENJARAHAN DAN PEMBAKARAN? https://t.co/iTdFQXPq6f https://t.co/8hqm1PIEUg""""",negative,agustus kelabu tentara libat perusakan penjarahan pembakaran
"""""Demo ditengarai memang tidak alami tidak murni pakai deadline segala 17+8 kita yang 17+8+45 aja proklamasi sumpah pemuda 28+10+28 dari dulu aja gak repotWoy termul antek fufufafa.Kalian rusuh demo dibayar 20 juta rupiah perorang pantas maksain perusuh penjarahan antek asing! https://t.co/HN1AHvYNb9""""",negative,demo tengara memang tidak alami tidak murni pakai deadline segala 17 8 17 8 45 proklamasi sumpah pemuda 28 10 28 dulu tidak repotwoy termul antek fufufafa kalian rusuh demo bayar 20 juta rupiah orang pantas maksain rusuh penjarahan antek asing
"""""Hal kocak yg keluarga gue ucapin pas demo dan penjarahan kmrn. Yuk kamu jngn ikut demo bnyk oknum soalnya Yuk kamu jngn ikut ngejarah kalo di ajak jangan mau apalagi ngejarah toko cina soalnya kakek kita cina jd jangan ya Wkwkw yg mau ngejarah siape si akh""""",negative,kocak keluarga gue ucapin pas demo penjarahan kmrn yuk kamu jngn ikut demo bnyk oknum soal yuk kamu jngn ikut ngejarah kalo ajak jangan mau ngejarah toko cina soal kakek cina jadi jangan wkwkw mau ngejarah siape si akh
"""""bunuh diri itu sama kyk melakukan penjarahan saat demo... jangan dilakuin walau mungkin manusia lain bisa memaklumi... yang saya tau hukum bunuh diri cukup tegas dalam agama.""""",positive,bunuh diri sama kyk laku penjarahan demo jangan dilakuin mungkin manusia memakalaumi tau hukum bunuh diri cukup tegas agama
"""""Polres Jepara menetapkan seorang mahasiswa Universitas Negeri Semarang (Unnes) SU bersama 9 orang lainnya menjadi tersangka penjarahan saat terjadi aksi demonstrasi berbuntut anarkis yakni pembakaran dan penjarahan Gedung DPRD Jepara. https://t.co/zN6hgn80hn""""",neutral,polres jepara tetap orang mahasiswa universitas negeri semarang unnes su sama 9 orang lain jadi sangka penjarahan jadi aksi demonstrasi buntut anarkis pembakaran penjarahan gedung dprd jepara
