text,label
"""""Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid menjelaskan bahwa penonaktifan sementara fitur live di Tik Tok dilakukan secara sukarela oleh pihak platform bkn atas permintaan pemerintah. Menurutnya keputusan ini diambil Tik Tok setelah terjadi kericuhan dan penjarahan https://t.co/emUsWEEVP1""""",neutral
"""""@RakhmadIrawan9 @KangManto123 Ngeroda krn direpublik lg marak penjarahan Para penjarah itu bertannya- tanya? ? Siapa sebenarnya penjarah republik ini? Yaitu para pejabat yg KKN (korupsi kolusi nepotisme) Slamet ....slamet... anda dpt sepada """"",negative
"""""@somexthread Iya terus sampe inflasi terus drop tuh rupiah abis itu bangkrut deh Indonesia dan ada penjarahan lagi """"",negative
"""""awalnya demo murni-lalu masuk tangan yang membajak membentuk kabut narasi-mob mentality-tangan selanjutnya mengeksekusi memprovokasi mob justice tindakan anarkis terhadap aparat pembakaran penjarahan yg harus diusut pihak yg memicu kabut narasi melancarkan provokasi mob justice""""",negative
"""""@Otto_0967 kita ini rakyat di sebuah negara yang hanya di jadikan sapi perah saja baik oleh negara itu sendiri dan juga oligarki. belum lagi penjarahan sumberdaya alam yang sistematis dan masif.""""",negative
"""""@neVerAl0nely__ Penjarahan yg sesungguhnya""""",neutral
"""""@BattleboyA239 hanya lakukan revolusi jika ada ulama didalamnya kalau tidak pasti akan kacau semacam 98 yg isinya cuma penjarahan dan pemerkosaan dan negara tidak membaik sama sekali org yg dulunya revolusi sekarang jadi koruptor""""",negative
"""""Contoh munafik/hipokritnya antek Fufufafa &amp"";"" termul.Mereka(kebanyakan diaspora beijingisme)merasa tak suka reformasi 1998 blg ada pelecehan pemerkosaan penjarahan sipit eh giliran mau goyang Prabowo bawa2 98Taimpetuk.Cina mana mau rugi 20 jt dah dikeluarin gunain perusuh https://t.co/BWhlcAUZyD""""",negative
"""""Kata Pak @rockygerung Gathel Demo yang mestinya jadi ruang ekspresi justru dibungkus dengan ancaman anarki pengrusakan bahkan penjarahan. Lebih parahnya lagi aksi ini dinegosiasikan dengan janji pembatalan jika ada imbalan uang ratusan juta rupiah. https://t.co/1sZeAnOlPc""""",negative
"""""@Majelis_Ruhani ini bukannya udh sempet disinggung ya? (walaupun tdk secara eksplisit) kalo pergerakan kmrn emg ada beberapa lini yg disusupi bukan hanya pas aksi demo atau pas penjarahan""""",neutral
"""""@GoodRecom gua benci ni org joget2 disaat rakyat lagi banyak yg susah. tapi bukan berarti gua membenarkan penjarahan dirumah dia dan artis lain yg baru jadi dpr. mereka itu notabenenya baru harta kekayaannya mayoritas dari karir mereka selama jd artis. aneh mental maling apa bedanya?""""",negative
"""""AGUSTUS KELABU!!! TENTARA TERLIBAT PERUSAKAN PENJARAHAN DAN PEMBAKARAN? https://t.co/iTdFQXPq6f https://t.co/8hqm1PIEUg""""",negative
