teks,label
Presiden Minta Polri dan TNI Tindak Tegas Penjarahan Rumah Pejabat #StopMenjarah #StopMenjarahPejabat #StopAnarkis #Indonesia #IndonesiaEmas https://t.co/yk97Cv10wC,netral
Presiden Minta Polri dan TNI Tindak Tegas Penjarahan Rumah Pejabat #StopMenjarah #StopMenjarahPejabat #StopAnarkis #Indonesia #IndonesiaEmas https://t.co/zF5PMO2Ms0,netral
Presiden Minta Polri dan TNI Tindak Tegas Penjarahan Rumah Pejabat #StopMenjarah #StopMenjarahPejabat #StopAnarkis #Indonesia #IndonesiaEmas https://t.co/3dAuCYsUUq,netral
@Belok_dong Penjarahan pasti di lakukan orang miskin (gak mungkin orang kaya)orang miskin identik wong cilik wong cilik identik dengan PARTAI... PAHAM...,negatif
Menurut Dino Pati Djalal bhw Penjarahan rumah Sri Mulyani direncanakan secara sistematis dan sudah ditarget dari kekuatan tertentu yg melibatkan TANGAN SILUMAN,netral
@OpikAf @Hegie_bae 17+8 setelah adanya kerusuhan dan lebih di isi oleh influenzer. Rakyat mulai menarik dukungan ketika arahnya sudah ke arah penjarahan. Trauma kelam 98 masih membekas.,negatif
@_akunkomen @txtdrimedia @prabowo gerakin penjarahan harta koruptor.,netral
@AdlawiSamsudin @dinopattidjalal Saya orang bodoh tapi Para alumni LPDP pastinya orang2 pinter dan cerdas. .... Mengapa mereka/alumni lpdp tidak membantu memberikan masukan utk mencari dalang penjarahan rumah SM spt yg dikemukakan oleh @dinopattidjalal ini,negatif
@ARSIPAJA kenapa gua yakin penjarahan kemaren cuma skenario penguasa ? ya karena rumahnya bahlil aman,negatif
@Mas_zobirin @sharpandshark kalo dalam agama kami dan ajaran nabi muhammad kami penjarahan itu haram mas sobirin dalam agama kami juga setuju dengan perbuatan maksiat sama dengan melakukanya,negatif
@BebySoSweet Mulai...kumat buat statement asal njeplak Giliran masuk penjarahan bikin drama Zul..Zul...moga cepet mati dah lu org,negatif
Penjarahan rumah / toko dan apapun milik pribadi warga itu kriminal. INSTRUKSI : tindak tegas utk tangkap adili penjarakan. Penjarahan pantai. Penjarahan hutan Penjarahan tambang Penjarahan APBN / APBN ? INSTRUKSI : ????,negatif
@nyctogna Gak membenarkan penjarahan tapi dia sok asik sih Emak bapaknya juga.,negatif
@inijoejoe itu realita yg ada dimsyrkt saat ini. Menormalisasi sesuatu yg sbnrnya ga normal. byk case spt kasus penjarahan pengerusakan fasum dll. termasuk diantaranya kalo pacaran ga ada acara sedot sedotan bukan pacaran katanya. pdhl kalo mau nyedot bs juice atau wc ya,negatif
@dinopattidjalal Hal yang tidak mengherankan si asam sulfat aja bisa jadi wp krn penjarahan peraturan oleh pasukan siluman berdasi.,negatif
@zimaya5 @sudahsaatnyaa @BudiBukanIntel @barengwarga Gak heran sih indonesia masih begini aja kalai masih ada orang kayak anda yang mewajarkan penjarahan :),negatif
@userxmlf Jangan sampe ada penjarahan part sekian sekian dah lu pada yang jadi pejabrut. Heran kerja gajinya hasil iuran rakyat kok songong bgt,negatif
Penjarahan rumah pribadi SMI di mobilisasi pake truk. Artinya by setting @bangyupi_006,netral
@DivHumas_Polri Bravo pak..kejar terus para pelaku pengrusakan dan penjarahan,netral
@Om_Awang @WagimanDeep212_ Halahh elu yg tolol. Tanpa mengurangi rasa hormat atas pengiriman bantuan (tentu atas seijin otoritas udara Israel). Indonesia bisa menekan PBB agar sgr mendistribusikan bantuan utk warga Gaza yg jumlahnya RIBUAN TON n minta pengamanan dr penjarahan bantuan oleh TERORIS HAMAS.,negatif
@EdwardSevino @CNNIndonesia Jika mempertahankan hak hidup harus menyuap maka boleh. Misalnya di suatu daerah terjadi kekacauan ada penjarahan pembakaran rumah dll maka seseorang menyuap petugas untuk menjaga keselamatan dan hak dia untuk hidup itu dibenarkan.,netral
@dinopattidjalal Wa alaikum salam sayangnya pembentukan TGPF (tim gabungan pencari fakta) penjarahan pembakaran dll Agustus 2025 di cancel jadi gak terkuak apa motif dan siapa dalangnya ?,negatif
@dinopattidjalal Saya awam Om cuma heran aja sama perbedaan penjarahan di rumah Om Sahroni ama yg di rumah Tante Sri. Di rumah Om Sahroni penjarahannya begitu spontan kalau Tante Sri eeemmm gimana yaa kaya terlalu adem dan santai bener sih.,negatif
VIDEO: Kekuatan Siluman Rekayasa Penjarahan Rumah Mantan Menkeu Sri Mulyani Sudah Ditarget! https://t.co/iSBA3ZMRZ9,netral
@gendut4444 Yang dimaksud itu jeda apa ya? Setelah hari kejadian penjarahan kah? Atau apa?,negatif
Kepolisian Daerah Jawa Timur (Polda Jatim) mengamankan sejumlah tersangka baru terkait aksi perusakan penjarahan dan perusakan fasilitas umum yang terjadi serentak di beberapa wilayah. #energiinspirasiindonesia Baca selengkapnya di https://t.co/HLSrQVn5gE https://t.co/Z9Xdwg2MSS,netral
@ArmaZulfikar @dinopattidjalal Analisa kamu menarik. Berdasarkan berita dari Tempo Kompas dan CNBC (Sept 2025) penjarahan rumah Sri Mulyani tampak bagian dari demo besar dengan dugaan konspirasi seperti yang disebut Dino Patti Djalal. Teori false flag atau targeting oleh pihak lain belum ada bukti kuat;,negatif
Arloji Mewah Swiss Dari Mana Mulanya? Selain cokelat dan pisau saku multiguna Swiss juga terkenal dengan arloji mewahnya. Harga arloji-arlojinya selangit. Seperti arloji Richard Mille milik mantan anggota DPR Ahmad Sahroni yang sempat digondol seorang remaja dalam penjarahan https://t.co/PVFFUXN62A,positif
@dinopattidjalal Untuk analisa penjarahan gw sepakat gw juga menduga demikian bahkan dari mulai penjarahan rumah pejabat pertama sepakat usut tuntas TAPI kalo narasinya digiring jadi PENILAIAN PERSONAL DAN SUBJEKTIF terhadap kinerja SRM sebentar2 setiap orang punya penilaian masing2 jg,negatif
@dinopattidjalal Penjarahan nya juga aku gak setuju dan harus diusut Tapi Sri Mulyani gak innocent2 banget Banyak kebijakan nya bikin sengsara Rakyat,negatif
@dinopattidjalal Perlu investigasi siapa dalang penjarahan Sri Mulyani.,negatif
Eks Jubir SBY Curiga Ada Kekuatan Siluman di Balik Penjarahan Rumah Sri Mulyani https://t.co/O0Qtoulp5e,netral
warga indonesia udah main marah-marah dan penjarahan. sekali viral warga marah.,negatif
@dinopattidjalal Penjarahan yang terjadi sporadis oleh satu kelompok yang terorganisir - lalu mempengaruhi masyarakat tertentu hingga terjadi gelombang massa yang tak terbendung...,netral
@dinopattidjalal Mungkin saja orangnya sama dengan yg memobilisasi dan memprovokasi penjarahan dan pembakaran di Jakarta tahun 1998. Ytta.,negatif
@Kappa_2023 @Valhallaah @spektrumku @bnsphrxyzzz @RefublikAteis @iphone7decoco @Sentjoko @PaijoKentirr @tepig_pignite @FaktaBerita89 @iam_zelt @balaputra_deva @NamoAryatara @mbienyambay2 Betul Itulah gunanya tuhan nabi wahyu ayat2 dst sbg alat legitimasi penyerangan pemerkosaan penjarahan penjajahan &amp; perbudakan. Mk jgn brharap hal baik apa pun dr mrk.,negatif
@pmd_sehat @sharpandshark Yg bilang penjarahan tindakan terpuji siapa ???,negatif
Yang buat saya bingung Dalam penjarahan rumah tokoh2 tsb tak ada pertolongan dari pihak tetangga warga pihak kampung sekitar. Apakah tokoh2 tsb tidak bermasyarakat atau kehidupan disana siapa loe siapa gue atau warga sekitar benar2 tak berdaya/takut?,negatif
@oman_man89 @sharpandshark Penjarahan itu perampokan mau di rencanakan atau spontan itu tindakan kriminal harus di tangkap.,negatif
Sesama Agen Cai Got mulai muncul saling membela mungkin krn hilangnya Dokumen Rahasia yg tertera nama² antek Global yg hilang saat penjarahan...ituh simpulnya...,negatif
@sharpandshark Okelah aksi penjarahan kemarin terorganisir krn ada yg hunting lokasi sahroni sri mulyani dll. Tapi juga jangan lupa murka rakyat kemarin itu akumulatif. Kesalnya udah lama. Soal ditumpangi atau enggk siapa yg akhirnya peduli? Kalaupun diinvestigasi siapa yg percaya aparat?,negatif
Berikut video ulasan saya mengenai Jejak2 SILUMAN dalam PENJARAHAN Sri Mulyani . What do you think? Silahkan komentari kalau analisa saya masuk akal atau ngawur. https://t.co/etemzS8Ej6,negatif
@e100ss Apakah karyawan Shell tidak ada niatan untuk membakar rumah si Bahlil? Kan seru gitu penjarahan rumah pejabat part 2,negatif
@tempodotco Apa jng2 penjarahan di rumah orang yg di ilustrasi sedang digunting itu dibuat agar jadi alasan biar bisa anu po yaaa,negatif
@oman_man89 @sharpandshark Ada benarnya. Namun baru pertama kali ini terjadi ada demo yg dilakukan tengah malam dan terjadi penjarahan. Seperti perampokan yg telah direncanakan dengan rapi. Apakah semua masuk akal?,negatif
@sharpandshark yg namanya penjarahan pencurian atau perampokan itu ngga perlu ada dalang. Tapi sdh spontanitas aksi massa krn ada jurang kemiskinan yg sangat dalam antara pejabat negara dgn rakyatnya. Kalau semua pejabat nya tolol seperti ini. lalu kapan pemerintah bisa introspeksi diri ??,negatif
@HetsiyHetsiy1 @sharpandshark Berdasarkan penelusuran insiden penjarahan rumah Sri Mulyani memang terjadi pada 31 Agustus 2025 di Bintaro. Namun rumor ia melapor ke Menhan untuk minta pengamanan sebelum kejadian tidak dikonfirmasi oleh sumber berita kredibel seperti Tempo atau CNN Indonesia. Kemungkinan,netral
@sharpandshark kalo penjarahan 1998 pkai pemerkosaan itu iblis yg melebihi iblis ya teman² . klo menjarah tnpa ada rape dll dsebut tgn siluman lalu penjarahan pemerkosaan pembunuhan pembakaran bahkan ada mayat dimutilasi 1998 itu apa namanya pak? nanya doang kok pak️ https://t.co/4WrOrS2qqV,negatif
@taufik_q Ga usah bawa2 nama anies baswedan. Semua pejabat akan mengalami penjarahan bahkan dkroyok bakar habis2an.jgn bawa ani2 sok suci. Kalian juga yg bawanma anis akan bernasib sama. Dari segala partai akan dijarah dan mati sia besrta kekuarga,negatif
Bisa jadi jangan2 dipdipeh ada komplotan pemakar. Pendemoan penjarahan penempatan perusuh ada settingan yg khas opsus gaya pdipeh. BG sebagai menkopolkam lumpuh tak berdaya dan hilang akal sehingga seperti memaksa Presiden untuk terima proposal keadaan darurat sipil. FUTSCH.,negatif
Polri melalui Polda Nusa Tenggara Barat (NTB) menetapkan 20 tersangka terkait aksi perusakan dan penjarahan saat unjuk rasa 30 Agustus 2025 di Mapolda NTB dan Gedung DPRD NTB. https://t.co/jNbyytNRlC,netral
Yg dituduh dalang penjarahan sahroni itu bukan ya? Kirain nyewa stuntwoman eh lah nyari kambing itam beneran????,negatif
Polisi Tangkap Pelaku Penjarahan Gerai Ponsel di Garut Plaza Terungkap dari Rekaman CCTV https://t.co/Qh0WOZltrc,netral
Kita bisanya hanya nebak2 doang sahabat baikku jg jd korban brutal aksi penjarahan dan pengursakan akhir Agustus kmrin. Kita memohon pd @DivHumas_Polri untuk mengusut tuntas dn menemukan para aktor tsb. Udahlah gak usah bicara HAM dulu atau aktifis dulu.,negatif
